"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода в форму заказа через нажатие кнопки ""Заказать"" в заголовке страницы и успешного оформления заказа","4435","Проверка позитивного сценария для заказа самоката через кнопку ""Заказать"" в заголовке страницы","tests","Mon Mar 10 13:03:37 GMT 2025","passed","Mon Mar 10 13:03:42 GMT 2025","TestPositiveOrderForm","test_order_page","",""
"Проверка появления соответствующего текта при нажатии на вопрос","20813","Проверка отдела ""Вопросы о важном""","tests","Mon Mar 10 13:01:49 GMT 2025","passed","Mon Mar 10 13:02:09 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка появления соответствующего текта при нажатии на вопрос","446","Проверка отдела ""Вопросы о важном""","tests","Mon Mar 10 13:02:26 GMT 2025","passed","Mon Mar 10 13:02:26 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка появления соответствующего текта при нажатии на вопрос","535","Проверка отдела ""Вопросы о важном""","tests","Mon Mar 10 13:02:42 GMT 2025","passed","Mon Mar 10 13:02:43 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка, что при нажатии на логотип Самокат, произойдет переход на главную страницу Самокат","813","Проверка нажатии на логотип Самокат","tests","Mon Mar 10 13:03:21 GMT 2025","passed","Mon Mar 10 13:03:22 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка, что при нажатии на логотип Яндекс, произойдет переход на главную страницу Дзен","4463","Проверка нажатии на логотип Яндекс","tests","Mon Mar 10 13:03:00 GMT 2025","passed","Mon Mar 10 13:03:04 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка появления соответствующего текта при нажатии на вопрос","446","Проверка отдела ""Вопросы о важном""","tests","Mon Mar 10 13:01:32 GMT 2025","passed","Mon Mar 10 13:01:32 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка появления соответствующего текта при нажатии на вопрос","495","Проверка отдела ""Вопросы о важном""","tests","Mon Mar 10 13:00:42 GMT 2025","passed","Mon Mar 10 13:00:43 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка появления соответствующего текта при нажатии на вопрос","546","Проверка отдела ""Вопросы о важном""","tests","Mon Mar 10 13:00:26 GMT 2025","passed","Mon Mar 10 13:00:26 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка появления соответствующего текта при нажатии на вопрос","483","Проверка отдела ""Вопросы о важном""","tests","Mon Mar 10 13:01:15 GMT 2025","passed","Mon Mar 10 13:01:15 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка появления соответствующего текта при нажатии на вопрос","535","Проверка отдела ""Вопросы о важном""","tests","Mon Mar 10 13:00:59 GMT 2025","passed","Mon Mar 10 13:00:59 GMT 2025","TestHomePageSamokat","test_home_page","",""
"Проверка перехода в форму заказа через нажатие кнопки ""Заказать"" в теле страницы и успешного оформления заказа","4426","Проверка позитивного сценария для заказа самоката через кнопку Заказать в теле страницы","tests","Mon Mar 10 13:03:58 GMT 2025","passed","Mon Mar 10 13:04:02 GMT 2025","TestPositiveOrderForm","test_order_page","",""
